,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,23/3/2021,15:16:55:532,827.84,31.2,1162.46,0.547,948.147,1158.8061522130258,827.84
1,1,23/3/2021,15:16:55:626,827.84,31.14,1159.46,0.546,948.147,1158.379692238527,827.84
2,2,23/3/2021,15:16:55:738,827.34,31.08,1157.66,0.546,947.997,1157.9483484074651,827.84
3,3,23/3/2021,15:16:55:848,827.84,31.22,1159.76,0.546,947.997,1157.5135574704145,827.84
4,4,23/3/2021,15:16:55:972,828.34,31.12,1160.96,0.546,947.997,1157.0767748212281,827.84
5,5,23/3/2021,15:16:56:66,826.84,31.1,1159.16,0.547,948.147,1156.6394865380314,827.84
6,6,23/3/2021,15:16:56:238,826.84,31.2,1153.66,0.547,947.997,1156.2032172609515,827.84
7,7,23/3/2021,15:16:56:285,827.84,31.06,1155.76,0.547,947.997,1155.7695137906508,827.84
8,8,23/3/2021,15:16:56:394,826.84,31.14,1120.36,0.547,948.147,1155.3398875100459,827.84
9,9,23/3/2021,15:16:56:504,827.34,31.24,1159.16,0.547,947.997,1154.9157099483616,827.84
10,10,23/3/2021,15:16:56:613,829.74,31.12,1118.26,0.547,948.147,1154.498126619656,827.84
11,11,23/3/2021,15:16:56:722,827.34,31.12,1142.96,0.547,948.147,1154.088019156578,827.84
12,12,23/3/2021,15:16:56:832,828.84,31.2,1158.86,0.547,948.147,1153.6860011887131,827.84
13,13,23/3/2021,15:16:56:972,826.84,31.1,1159.46,0.547,948.147,1153.2925101805902,827.84
14,14,23/3/2021,15:16:57:50,826.84,31.02,1157.06,0.547,948.147,1152.9079632268213,827.84
15,15,23/3/2021,15:16:57:160,826.84,31.08,1154.26,0.547,948.147,1152.5328407318034,827.84
16,16,23/3/2021,15:16:57:269,827.34,31.14,1150.56,0.547,948.147,1152.1676816780935,827.84
17,17,23/3/2021,15:16:57:379,827.84,31.1,1139.96,0.547,948.147,1151.8130395372611,827.84
18,18,23/3/2021,15:16:57:488,827.34,31.14,1146.96,0.547,948.147,1151.46941851767,827.84
19,19,23/3/2021,15:16:57:597,827.34,31.14,1139.26,0.547,948.147,1151.13721969487,827.84
20,20,23/3/2021,15:16:57:738,828.84,31.08,1142.66,0.547,948.147,1150.8167156467548,827.84
21,21,23/3/2021,15:16:57:816,827.84,31.14,1139.66,0.547,948.147,1150.5080378839318,827.84
22,22,23/3/2021,15:16:57:972,827.34,31.45,1148.16,0.547,948.147,1150.2111751203993,827.84
23,23,23/3/2021,15:16:58:35,828.84,31.14,1155.76,0.546,947.997,1149.9260068643498,827.84
24,24,23/3/2021,15:16:58:144,827.34,31.1,1153.06,0.547,947.997,1149.652376425587,827.84
25,25,23/3/2021,15:16:58:253,828.34,31.1,1150.56,0.547,948.147,1149.3901571081801,827.84
26,26,23/3/2021,15:16:58:363,829.34,31.16,1146.06,0.547,947.997,1149.1392644797802,827.84
27,27,23/3/2021,15:16:58:472,827.34,31.06,1142.06,0.547,948.147,1148.899621254472,827.84
28,28,23/3/2021,15:16:58:582,827.84,31.1,1142.06,0.547,948.147,1148.671106880526,827.84
29,29,23/3/2021,15:16:58:722,827.84,31.12,1159.76,0.547,948.147,1148.4535351412064,827.84
30,30,23/3/2021,15:16:58:800,828.34,31.16,1144.46,0.547,948.147,1148.2466918604682,827.84
31,31,23/3/2021,15:16:58:910,828.34,31.12,1148.76,0.547,948.147,1148.0503824844384,827.84
32,32,23/3/2021,15:16:59:19,827.34,31.12,1144.46,0.547,948.147,1147.8644274104033,827.84
33,33,23/3/2021,15:16:59:128,826.84,31.2,1152.46,0.547,948.147,1147.688638814276,827.84
34,34,23/3/2021,15:16:59:238,827.34,31.22,1148.46,0.546,948.147,1147.522827553099,827.84
35,35,23/3/2021,15:16:59:347,827.84,31.12,1143.86,0.546,947.997,1147.366820052778,827.84
36,36,23/3/2021,15:16:59:472,827.84,31.18,1140.26,0.546,947.997,1147.2204430477584,827.84
37,37,23/3/2021,15:16:59:566,826.84,31.12,1138.96,0.546,947.997,1147.0834759803924,827.84
38,38,23/3/2021,15:16:59:722,827.84,31.12,1159.76,0.547,948.147,1146.9556255864215,827.84
39,39,23/3/2021,15:16:59:784,827.84,31.18,1144.46,0.547,947.997,1146.8365681225987,827.84
40,40,23/3/2021,15:16:59:893,826.84,31.12,1123.76,0.547,948.147,1146.7259846246593,827.84
41,41,23/3/2021,15:17:0:3,829.34,31.16,1161.56,0.546,948.147,1146.6235092198433,827.84
42,42,23/3/2021,15:17:0:112,828.34,31.06,1130.76,0.547,948.147,1146.5286877440278,827.84
43,43,23/3/2021,15:17:0:221,828.34,31.06,1160.96,0.546,947.997,1146.441014165313,827.84
44,44,23/3/2021,15:17:0:331,826.84,31.08,1139.26,0.547,948.147,1146.3599757644588,827.84
45,45,23/3/2021,15:17:0:471,827.34,31.0,1137.76,0.546,948.147,1146.2850618224154,827.84
46,46,23/3/2021,15:17:0:550,826.84,31.12,1157.06,0.546,948.147,1146.2157386514575,827.84
47,47,23/3/2021,15:17:0:659,826.84,31.12,1158.86,0.546,948.147,1146.1514638384508,827.84
48,48,23/3/2021,15:17:0:768,827.34,31.1,1158.86,0.546,948.147,1146.0917802839826,827.84
49,49,23/3/2021,15:17:0:878,827.34,31.16,1143.26,0.546,948.147,1146.0363863629404,827.84
50,50,23/3/2021,15:17:0:987,827.34,31.16,1140.86,0.546,948.147,1145.9850995015015,827.84
51,51,23/3/2021,15:17:1:97,826.84,31.02,1139.26,0.546,948.147,1145.9377565796194,827.84
52,52,23/3/2021,15:17:1:221,827.34,31.18,1142.66,0.546,948.147,1145.894136897917,827.84
53,53,23/3/2021,15:17:1:315,827.34,31.14,1132.86,0.546,948.147,1145.853932681677,827.84
54,54,23/3/2021,15:17:1:474,826.84,31.12,1158.26,0.546,948.147,1145.8167476181522,827.84
55,55,23/3/2021,15:17:1:540,829.74,31.16,1159.16,0.547,948.147,1145.782151815357,827.84
56,56,23/3/2021,15:17:1:648,827.84,31.16,1160.36,0.547,948.147,1145.7498007960064,827.84
57,57,23/3/2021,15:17:1:754,827.34,31.22,1154.86,0.547,948.147,1145.7195301635954,827.84
58,58,23/3/2021,15:17:1:867,827.84,31.04,1154.56,0.547,948.147,1145.6913696662327,827.84
59,59,23/3/2021,15:17:1:980,826.84,31.18,1151.56,0.547,948.147,1145.6655129445653,827.84
60,60,23/3/2021,15:17:2:84,828.34,31.14,1141.76,0.547,948.147,1145.6422746631802,827.84
61,61,23/3/2021,15:17:2:237,827.84,31.12,1140.56,0.547,948.147,1145.6220274148875,827.84
62,62,23/3/2021,15:17:2:304,827.84,31.16,1154.86,0.547,948.147,1145.605141997497,827.84
63,63,23/3/2021,15:17:2:417,827.34,31.26,1119.46,0.547,948.147,1145.5919608066079,827.84
64,64,23/3/2021,15:17:2:523,829.74,31.16,1142.36,0.547,948.147,1145.582751766235,827.84
65,65,23/3/2021,15:17:2:633,826.84,31.12,1153.36,0.547,947.997,1145.5776560573613,827.84
66,66,23/3/2021,15:17:2:740,827.34,31.18,1155.46,0.547,948.147,1145.5767430765081,827.84
67,67,23/3/2021,15:17:2:852,827.34,31.14,1152.16,0.547,948.147,1145.580134679697,827.84
68,68,23/3/2021,15:17:2:998,826.84,31.12,1120.36,0.547,948.147,1145.5880388461128,827.84
69,69,23/3/2021,15:17:3:68,827.84,31.14,1144.46,0.547,948.147,1145.60064867245,827.84
70,70,23/3/2021,15:17:3:237,828.84,31.16,1138.06,0.547,947.997,1145.6180331038215,827.84
71,71,23/3/2021,15:17:3:284,828.34,31.14,1140.56,0.547,947.997,1145.6401279580755,827.84
72,72,23/3/2021,15:17:3:399,826.84,31.12,1121.26,0.547,948.147,1145.6667521387992,827.84
73,73,23/3/2021,15:17:3:505,827.84,31.18,1162.86,0.547,947.997,1145.6975857361756,827.84
74,74,23/3/2021,15:17:3:615,827.34,31.12,1144.16,0.547,948.147,1145.7322042397266,827.84
75,75,23/3/2021,15:17:3:732,829.34,31.24,1161.56,0.547,947.997,1145.7701926667555,827.84
76,76,23/3/2021,15:17:3:833,829.34,31.12,1148.76,0.547,948.147,1145.8112344670344,827.84
77,77,23/3/2021,15:17:3:974,827.34,31.04,1143.26,0.547,947.997,1145.8551250753294,827.84
78,78,23/3/2021,15:17:4:53,827.34,31.06,1137.76,0.546,947.997,1145.9017191875905,827.84
79,79,23/3/2021,15:17:4:162,828.34,31.12,1135.66,0.546,948.147,1145.9508414157249,827.84
80,80,23/3/2021,15:17:4:270,827.34,31.12,1135.06,0.546,947.997,1146.0022106531776,827.84
81,81,23/3/2021,15:17:4:379,827.34,31.1,1155.46,0.546,947.997,1146.055417754784,827.84
82,82,23/3/2021,15:17:4:489,827.84,31.24,1143.56,0.546,947.997,1146.109975652762,827.84
83,83,23/3/2021,15:17:4:598,827.84,31.14,1121.56,0.546,948.147,1146.1653656406795,827.84
84,84,23/3/2021,15:17:4:737,830.74,31.18,1151.56,0.546,947.997,1146.2209893180209,827.84
85,85,23/3/2021,15:17:4:828,827.84,31.08,1163.16,0.546,947.997,1146.2761408101496,827.84
86,86,23/3/2021,15:17:4:974,828.34,31.12,1162.46,0.546,947.997,1146.3301286076705,827.84
87,87,23/3/2021,15:17:5:36,828.84,31.18,1138.36,0.546,947.997,1146.3824119461106,827.84
88,88,23/3/2021,15:17:5:148,828.84,31.12,1156.66,0.546,947.997,1146.4325942129026,827.84
89,89,23/3/2021,15:17:5:254,828.84,31.16,1156.36,0.546,947.997,1146.4803607835913,827.84
90,90,23/3/2021,15:17:5:365,827.84,31.08,1158.56,0.546,947.997,1146.5254916037554,827.84
91,91,23/3/2021,15:17:5:482,827.84,31.14,1139.96,0.546,947.997,1146.5678970217646,827.84
92,92,23/3/2021,15:17:5:583,827.84,31.18,1142.96,0.546,947.997,1146.607576997343,827.84
93,93,23/3/2021,15:17:5:740,828.34,31.22,1164.66,0.546,947.997,1146.6445527489082,827.84
94,94,23/3/2021,15:17:5:801,830.24,31.16,1138.96,0.546,948.147,1146.678872864235,827.84
95,95,23/3/2021,15:17:5:912,827.34,31.0,1138.06,0.546,948.147,1146.7106321329554,827.84
96,96,23/3/2021,15:17:6:21,828.34,31.14,1132.56,0.546,947.997,1146.7398993203074,827.84
97,97,23/3/2021,15:17:6:133,827.34,31.02,1139.66,0.546,947.997,1146.7666177681492,827.84
98,98,23/3/2021,15:17:6:240,827.84,31.14,1140.26,0.546,947.997,1146.7905724587379,827.84
99,99,23/3/2021,15:17:6:352,827.34,31.14,1160.66,0.546,947.997,1146.8114310527912,827.84
100,100,23/3/2021,15:17:6:479,827.34,30.93,1157.66,0.547,947.997,1146.828846029941,827.84
101,101,23/3/2021,15:17:6:573,826.84,31.2,1154.56,0.547,947.997,1146.8425682894858,827.84
102,102,23/3/2021,15:17:6:749,827.84,31.2,1162.86,0.547,947.997,1146.8525055004761,827.84
